ds,CPU,MEM,smoothed_CPU,smoothed_MEM
2023-05-14 10:09:00,32.0,1217.04,32.0,1217.04
2023-05-14 10:09:30,32.0,1.662,32.0,577.3673684210527
2023-05-14 10:10:00,32.0,1.673,32.0,364.93402214022143
2023-05-14 10:10:30,32.0,1.747,32.0,259.32569933120095
2023-05-14 10:11:00,32.0,1.7080000000000002,32.0,196.4169304778882
2023-05-14 10:11:30,34.0,1.649,32.426840589979065,154.8495013007967
2023-05-14 10:12:00,32.0,0.075,32.345023826770436,125.18233978674846
2023-05-14 10:12:30,32.0,0.061,32.28444367531499,103.21322018842852
2023-05-14 10:13:00,34.0,0.043,32.56449814887785,86.37128892304727
2023-05-14 10:13:30,34.0,0.048,32.78489648043969,73.11772966173542
2023-05-14 10:14:00,42.0,1315.463,34.127835247353225,254.16763560012694
2023-05-14 10:14:30,46.0,2605.877,35.782329872790434,581.8998213518895
2023-05-14 10:15:00,44.00000000000001,2444.45,36.884169815335795,831.6338883150217
2023-05-14 10:15:30,44.00000000000001,2509.53,37.80682726322639,1049.1943561813391
2023-05-14 10:16:00,46.0,2596.071,38.83857153254617,1243.9883833402237
2023-05-14 10:16:30,46.0,2591.299,39.71760015830196,1409.3638535010978
2023-05-14 10:17:00,48.0,2585.003,40.711613564310916,1550.4583544409677
2023-05-14 10:17:30,46.0,2507.838,41.33384595103519,1663.1037953711577
2023-05-14 10:18:00,42.0,1355.701,41.41086556351264,1627.562400387876
2023-05-14 10:18:30,42.0,1272.684,41.47793281981521,1587.1629276003594
2023-05-14 10:19:00,40.0,2.291,41.31198128909776,1409.2036057353214
2023-05-14 10:19:30,40.0,2.382,41.16645184388205,1253.1541487031009
2023-05-14 10:20:00,40.0,2.383,41.03846309596592,1115.9134781244047
2023-05-14 10:20:30,38.0,2.255,40.70827919068374,994.8943662102502
2023-05-14 10:21:00,38.0,2.36,40.41650485044351,887.9644526094149
2023-05-14 10:21:30,38.0,2.415,40.158162665260036,793.2926870496824
2023-05-14 10:22:00,38.0,2.462,39.929021924948216,709.327037931184
2023-05-14 10:22:30,36.00000000000001,0.166,39.514421729351575,634.4945960023546
2023-05-14 10:23:00,34.0,0.16,38.935722057081975,567.9256535397338
2023-05-14 10:23:30,34.0,0.168,38.42030053609935,508.6365546089924
2023-05-14 10:24:00,32.0,0.18,37.752804131320616,455.77408808123647
2023-05-14 10:24:30,32.0,0.163,37.15706802385486,408.59292739231097
2023-05-14 10:25:00,32.0,1303.934,36.62491604676639,500.98215316027927
2023-05-14 10:25:30,30.0,1301.344,35.94347153565262,583.3080548900103
2023-05-14 10:26:00,28.0,1234.309,35.12873013793903,650.0795435963274
2023-05-14 10:26:30,28.0,1319.705,34.3994270937769,718.5854169221539
2023-05-14 10:27:00,28.0,1320.086,33.746240664018984,779.9802906507709
2023-05-14 10:27:30,30.0,1288.208,33.36465339168585,831.7477137096607
2023-05-14 10:28:00,30.0,1273.224,33.02256994656331,876.6324942125448
2023-05-14 10:28:30,30.0,2548.033,32.715778300499096,1046.2800859865988
2023-05-14 10:29:00,30.0,2577.339,32.44053901880595,1201.4501731934538
2023-05-14 10:29:30,30.0,1238.783,32.19352777101087,1205.2286942751264
2023-05-14 10:30:00,30.0,2439.025,31.971785664243892,1329.9522540897674
2023-05-14 10:30:30,30.0,2528.964,31.772676186409957,1451.0275854374538
2023-05-14 10:31:00,30.0,2485.936,31.593847759776363,1555.429644259541
2023-05-14 10:31:30,30.0,2594.1220000000008,31.433201077245506,1660.1212499015219
2023-05-14 10:32:00,200.0,2764.327,48.4099002994987,1771.3280178932105
2023-05-14 10:32:30,380.0,2786.46,81.78124161710151,1873.491248604556
2023-05-14 10:33:00,580.0,1518.1270000000006,131.89006144796065,1837.7501553437335
2023-05-14 10:33:30,740.0,1568.807,193.01608508832433,1810.7165145014235
2023-05-14 10:34:00,900.0,1683.787,264.04393198019847,1797.9644137365942
2023-05-14 10:34:30,880.0,2039.551,325.89775113267575,1822.2243468588388
2023-05-14 10:35:00,920.0,3808.931,385.53202808814814,2021.644253126788
2023-05-14 10:35:30,860.0,3635.889,433.13980583402406,2183.6164191866396
2023-05-14 10:36:00,960.0,3560.168,485.98665155772835,2321.6917754718556
2023-05-14 10:36:30,960.0,3476.898,533.5181717874507,2437.5296695124025
2023-05-14 10:37:00,980.0,3477.756,578.2766858993338,2541.809355606406
2023-05-14 10:37:30,960.0,3502.7990000000004,616.5338921163361,2638.1219926392964
2023-05-14 10:38:00,980.0,3499.818,652.9532205806652,2724.463990552662
2023-05-14 10:38:30,1000.0,3586.189000000001,687.720375458012,2810.7916231423264
2023-05-14 10:39:00,1200.0,1971.191,739.0313235842639,2726.695551471817
2023-05-14 10:39:30,1320.0,380.016,797.2128790379138,2491.6855208136376
2023-05-14 10:40:00,1520.0,422.241,869.5864019333978,2284.4696116415425
2023-05-14 10:40:30,1580.0,397.115,940.7116196846,2095.5113652171053
2023-05-14 10:41:00,1580.0,394.476,1004.7083657264787,1925.2271372723617
2023-05-14 10:41:30,1560.0,388.611,1060.29061047274,1771.4186356646157
2023-05-14 10:42:00,1560.0,377.667,1110.3045366178355,1631.9235754723684
2023-05-14 10:42:30,1560.0,379.855,1155.3088962589263,1506.6197886783707
2023-05-14 10:43:00,1560.0,378.454,1195.8062008001289,1393.7246123457933
2023-05-14 10:43:30,1560.0,386.836,1232.248414636844,1292.9726220552573
2023-05-14 10:44:00,1560.0,380.3,1265.0420661977896,1201.6538632955344
2023-05-14 10:44:30,1560.0,378.92,1294.5528371437645,1119.3386996509025
2023-05-14 10:45:00,1580.0,381.856,1323.1105979264844,1045.5567278586934
2023-05-14 10:45:30,1580.0,378.923,1348.8101031571766,978.8659386016208
2023-05-14 10:46:00,1580.0,375.716,1371.9376497673918,918.5286206285909
2023-05-14 10:46:30,1580.0,382.961,1392.7508153590982,864.9540187785344
2023-05-14 10:47:00,1580.0,379.596,1411.4813471888756,816.4036668130319
2023-05-14 10:47:30,1580.0,382.86300000000006,1428.3377590084485,773.0379034484064
2023-05-14 10:48:00,1580.0,383.474,1443.5076655940086,734.0720541652771
2023-05-14 10:48:30,1580.0,372.571,1457.1598816957016,697.9140491466629
2023-05-14 10:49:00,1580.0,371.499,1469.446309370166,665.2661247669217
2023-05-14 10:49:30,1580.0,364.727,1480.5036351855747,635.2068928779343
2023-05-14 10:50:00,1580.0,352.6330000000001,1490.454856577259,606.9450023778832
2023-05-14 10:50:30,1560.0,361.686,1497.4103679303191,582.4155860660927
2023-05-14 10:51:00,1560.0,353.666,1503.6701386915827,559.537676048767
2023-05-14 10:51:30,1560.0,351.494,1509.3037789235868,538.730892645108
2023-05-14 10:52:00,1560.0,349.657,1514.3739308401819,519.8215274336906
2023-05-14 10:52:30,1560.0,346.412,1518.9369668919483,502.47894368780544
2023-05-14 10:53:00,1560.0,325.715,1523.043617795837,484.8010530358817
2023-05-14 10:53:30,1560.0,330.287,1526.7395375616197,469.3484705955428
2023-05-14 10:54:00,1560.0,322.316,1530.0658118535368,454.6442154179405
