ds,MEM
2023-05-14 10:09:00,1217040
2023-05-14 10:09:30,1662
2023-05-14 10:10:00,1673
2023-05-14 10:10:30,1747
2023-05-14 10:11:00,1708
2023-05-14 10:11:30,1649
2023-05-14 10:12:00,75
2023-05-14 10:12:30,61
2023-05-14 10:13:00,43
2023-05-14 10:13:30,48
2023-05-14 10:14:00,1315463
2023-05-14 10:14:30,2605877
2023-05-14 10:15:00,2444450
2023-05-14 10:15:30,2509530
2023-05-14 10:16:00,2596071
2023-05-14 10:16:30,2591299
2023-05-14 10:17:00,2585003
2023-05-14 10:17:30,2507838
2023-05-14 10:18:00,1355701
2023-05-14 10:18:30,1272684
2023-05-14 10:19:00,2291
2023-05-14 10:19:30,2382
2023-05-14 10:20:00,2383
2023-05-14 10:20:30,2255
2023-05-14 10:21:00,2360
2023-05-14 10:21:30,2415
2023-05-14 10:22:00,2462
2023-05-14 10:22:30,166
2023-05-14 10:23:00,160
2023-05-14 10:23:30,168
2023-05-14 10:24:00,180
2023-05-14 10:24:30,163
2023-05-14 10:25:00,1303934
2023-05-14 10:25:30,1301344
2023-05-14 10:26:00,1234309
2023-05-14 10:26:30,1319705
2023-05-14 10:27:00,1320086
2023-05-14 10:27:30,1288208
2023-05-14 10:28:00,1273224
2023-05-14 10:28:30,2548033
2023-05-14 10:29:00,2577339
2023-05-14 10:29:30,1238783
2023-05-14 10:30:00,2439025
2023-05-14 10:30:30,2528964
2023-05-14 10:31:00,2485936
2023-05-14 10:31:30,2594122
2023-05-14 10:32:00,2764327
2023-05-14 10:32:30,2786460
2023-05-14 10:33:00,1518127
2023-05-14 10:33:30,1568807
2023-05-14 10:34:00,1683787
2023-05-14 10:34:30,2039551
2023-05-14 10:35:00,3808931
2023-05-14 10:35:30,3635889
2023-05-14 10:36:00,3560168
2023-05-14 10:36:30,3476898
2023-05-14 10:37:00,3477756
2023-05-14 10:37:30,3502799
2023-05-14 10:38:00,3499818
2023-05-14 10:38:30,3586189
2023-05-14 10:39:00,1971191
2023-05-14 10:39:30,380016
2023-05-14 10:40:00,422241
2023-05-14 10:40:30,397115
2023-05-14 10:41:00,394476
2023-05-14 10:41:30,388611
2023-05-14 10:42:00,377667
2023-05-14 10:42:30,379855
2023-05-14 10:43:00,378454
2023-05-14 10:43:30,386836
2023-05-14 10:44:00,380300
2023-05-14 10:44:30,378920
2023-05-14 10:45:00,381856
2023-05-14 10:45:30,378923
2023-05-14 10:46:00,375716
2023-05-14 10:46:30,382961
