ds,CPU_util
2018-06-28 21:53:50,15
2018-06-28 22:07:30,16
2018-06-28 22:24:50,15
2018-06-28 22:26:40,16
2018-06-28 22:44:40,15
2018-06-28 22:59:10,16
2018-06-28 23:03:40,15
2018-06-28 23:04:30,15
2018-06-28 23:08:00,15
2018-06-28 23:14:00,15
2018-06-28 23:14:20,15
2018-06-28 23:15:30,15
2018-06-28 23:31:00,15
2018-06-28 23:43:00,15
2018-06-28 23:43:20,15
2018-06-29 00:09:10,15
2018-06-29 00:17:10,15
2018-06-29 00:20:40,15
2018-06-29 00:45:20,15
2018-06-29 00:47:30,15
2018-06-29 01:05:10,16
2018-06-29 01:12:10,17
2018-06-29 02:20:30,16
2018-06-29 02:33:10,15
2018-06-29 02:40:50,15
2018-06-29 02:42:30,15
2018-06-29 02:51:30,15
2018-06-29 02:56:30,15
2018-06-29 02:59:50,15
2018-06-29 03:04:10,16
2018-06-29 03:04:50,15
2018-06-29 03:31:30,15
2018-06-29 03:40:40,15
2018-06-29 03:43:10,17
2018-06-29 03:49:00,16
2018-06-29 04:08:40,16
2018-06-29 04:20:10,17
2018-06-29 04:38:30,16
2018-06-29 04:40:10,17
2018-06-29 04:57:00,15
2018-06-29 05:07:20,15
2018-06-29 05:28:20,16
2018-06-29 05:38:10,16
2018-06-29 05:46:40,16
2018-06-29 05:48:20,15
2018-06-29 05:53:40,16
2018-06-29 05:56:50,16
2018-06-29 05:59:50,16
2018-06-29 06:00:40,16
2018-06-29 06:19:20,17
2018-06-29 06:41:30,21
2018-06-29 06:56:00,17
2018-06-29 07:03:20,19
2018-06-29 07:10:30,18
2018-06-29 07:24:10,20
2018-06-29 07:31:00,18
2018-06-29 07:48:10,18
2018-06-29 07:49:20,18
2018-06-29 07:59:10,19
2018-06-29 08:12:30,18
2018-06-29 08:23:20,18
2018-06-29 08:26:20,18
2018-06-29 08:40:20,18
2018-06-29 08:45:10,19
2018-06-29 08:54:30,18
2018-06-29 08:54:40,18
2018-06-29 09:09:50,18
2018-06-29 09:15:50,18
2018-06-29 09:33:40,19
2018-06-29 09:40:40,18
2018-06-29 09:47:40,18
2018-06-29 10:01:10,18
2018-06-29 10:06:10,18
2018-06-29 10:30:40,18
2018-06-29 10:40:30,17
2018-06-29 10:44:40,18
2018-06-29 10:44:50,18
2018-06-29 10:48:00,18
2018-06-29 10:49:30,19
2018-06-29 11:21:50,17
2018-06-29 11:22:50,17
2018-06-29 11:23:20,17
2018-06-29 11:29:30,19
2018-06-29 11:41:40,18
2018-06-29 11:48:40,18
2018-06-29 12:16:20,18
2018-06-29 12:21:10,18
2018-06-29 12:25:20,18
2018-06-29 12:51:00,18
2018-06-29 13:15:20,19
2018-06-29 13:16:50,18
2018-06-29 13:17:40,18
2018-06-29 13:21:50,18
2018-06-29 13:31:20,18
2018-06-29 14:00:00,18
2018-06-29 14:12:00,18
2018-06-29 14:31:20,17
2018-06-29 14:37:10,18
2018-06-29 14:42:00,17
2018-06-29 15:16:00,17
2018-06-29 15:32:10,18
2018-06-29 15:59:10,17
2018-06-29 16:04:00,17
2018-06-29 16:06:20,17
2018-06-29 16:19:40,18
2018-06-29 16:46:20,16
2018-06-29 16:46:30,16
2018-06-29 17:13:30,17
2018-06-29 17:52:40,16
2018-06-29 17:56:20,16
2018-06-29 18:02:40,17
2018-06-29 18:17:30,17
2018-06-29 18:18:10,18
2018-06-29 18:31:10,18
2018-06-29 18:55:00,17
2018-06-29 19:03:10,17
2018-06-29 19:15:00,17
2018-06-29 19:17:50,17
2018-06-29 19:44:10,17
2018-06-29 20:01:00,17
2018-06-29 20:05:50,17
2018-06-29 20:41:00,17
