ds,yhat_lower
2023-05-14 18:10:00,-354.3616011730418
2023-05-14 18:11:00,-421.090913662033
2023-05-14 18:12:00,-514.1092059882122
2023-05-14 18:13:00,-585.1602317170618
2023-05-14 18:14:00,-665.4034973748687
2023-05-14 18:15:00,-756.91258629082
2023-05-14 18:16:00,-850.7900860564847
2023-05-14 18:17:00,-943.9867251701502
2023-05-14 18:18:00,-1025.3913499161947
2023-05-14 18:19:00,-1124.417475408888
2023-05-14 18:20:00,-1195.3213176449874
2023-05-14 18:21:00,-1315.7466300852816
2023-05-14 18:22:00,-1408.0898815026967
2023-05-14 18:23:00,-1539.3002687027429
2023-05-14 18:24:00,-1636.1508992013578
2023-05-14 18:25:00,-1768.2037127579688
2023-05-14 18:26:00,-1905.7815523822924
2023-05-14 18:27:00,-1989.2754260444751
2023-05-14 18:28:00,-2120.480151919114
2023-05-14 18:29:00,-2255.499648828301
