ds,yhat
2023-05-14 18:10:00,-210.7193888083945
2023-05-14 18:11:00,-287.97763919525545
2023-05-14 18:12:00,-365.2358895821219
2023-05-14 18:13:00,-442.49413996898284
2023-05-14 18:14:00,-519.7523903558493
2023-05-14 18:15:00,-597.0106407427047
2023-05-14 18:16:00,-674.2688911295712
2023-05-14 18:17:00,-751.5271415164322
2023-05-14 18:18:00,-828.7853919032985
2023-05-14 18:19:00,-906.0436422901595
2023-05-14 18:20:00,-983.301892677026
2023-05-14 18:21:00,-1060.560143063887
2023-05-14 18:22:00,-1137.8183934507533
2023-05-14 18:23:00,-1215.0766438376088
2023-05-14 18:24:00,-1292.3348942244809
2023-05-14 18:25:00,-1369.5931446113473
2023-05-14 18:26:00,-1446.8513949982027
2023-05-14 18:27:00,-1524.1096453850746
2023-05-14 18:28:00,-1601.36789577193
2023-05-14 18:29:00,-1678.6261461587965
