ds,CPU
2023-05-14 10:09:00,0.016
2023-05-14 10:09:30,0.016
2023-05-14 10:10:00,0.016
2023-05-14 10:10:30,0.016
2023-05-14 10:11:00,0.016
2023-05-14 10:11:30,0.017
2023-05-14 10:12:00,0.016
2023-05-14 10:12:30,0.016
2023-05-14 10:13:00,0.017
2023-05-14 10:13:30,0.017
2023-05-14 10:14:00,0.021
2023-05-14 10:14:30,0.023
2023-05-14 10:15:00,0.022
2023-05-14 10:15:30,0.022
2023-05-14 10:16:00,0.023
2023-05-14 10:16:30,0.023
2023-05-14 10:17:00,0.024
2023-05-14 10:17:30,0.023
2023-05-14 10:18:00,0.021
2023-05-14 10:18:30,0.021
2023-05-14 10:19:00,0.020
2023-05-14 10:19:30,0.020
2023-05-14 10:20:00,0.020
2023-05-14 10:20:30,0.019
2023-05-14 10:21:00,0.019
2023-05-14 10:21:30,0.019
2023-05-14 10:22:00,0.019
2023-05-14 10:22:30,0.018
2023-05-14 10:23:00,0.017
2023-05-14 10:23:30,0.017
2023-05-14 10:24:00,0.016
2023-05-14 10:24:30,0.016
2023-05-14 10:25:00,0.016
2023-05-14 10:25:30,0.015
2023-05-14 10:26:00,0.014
2023-05-14 10:26:30,0.014
2023-05-14 10:27:00,0.014
2023-05-14 10:27:30,0.015
2023-05-14 10:28:00,0.015
2023-05-14 10:28:30,0.015
2023-05-14 10:29:00,0.015
2023-05-14 10:29:30,0.015
2023-05-14 10:30:00,0.015
2023-05-14 10:30:30,0.015
2023-05-14 10:31:00,0.015
2023-05-14 10:31:30,0.015
2023-05-14 10:32:00,0.10
2023-05-14 10:32:30,0.19
2023-05-14 10:33:00,0.29
2023-05-14 10:33:30,0.37
2023-05-14 10:34:00,0.45
2023-05-14 10:34:30,0.44
2023-05-14 10:35:00,0.46
2023-05-14 10:35:30,0.43
2023-05-14 10:36:00,0.48
2023-05-14 10:36:30,0.48
2023-05-14 10:37:00,0.49
2023-05-14 10:37:30,0.48
2023-05-14 10:38:00,0.49
2023-05-14 10:38:30,0.50
2023-05-14 10:39:00,0.60
2023-05-14 10:39:30,0.66
2023-05-14 10:40:00,0.76
2023-05-14 10:40:30,0.79
2023-05-14 10:41:00,0.79
2023-05-14 10:41:30,0.78
2023-05-14 10:42:00,0.78
2023-05-14 10:42:30,0.78
2023-05-14 10:43:00,0.78
2023-05-14 10:43:30,0.78
2023-05-14 10:44:00,0.78
2023-05-14 10:44:30,0.78
2023-05-14 10:45:00,0.79
2023-05-14 10:45:30,0.79
2023-05-14 10:46:00,0.79
2023-05-14 10:46:30,0.79
2023-05-14 10:47:00,0.79
2023-05-14 10:47:30,0.79
2023-05-14 10:48:00,0.79
2023-05-14 10:48:30,0.79
2023-05-14 10:49:00,0.79
2023-05-14 10:49:30,0.79
2023-05-14 10:50:00,0.79
2023-05-14 10:50:30,0.78
2023-05-14 10:51:00,0.78
2023-05-14 10:51:30,0.78
2023-05-14 10:52:00,0.78
2023-05-14 10:52:30,0.78
2023-05-14 10:53:00,0.78
2023-05-14 10:53:30,0.78
