,mean,pi_lower,pi_upper
2023-05-14 18:09:00,14058.446863646772,13764.813191804331,14352.080535489213
2023-05-14 18:09:30,14137.64744452787,13844.01377268543,14431.281116370312
2023-05-14 18:10:00,14747.591255742434,14205.469306996773,15289.713204488096
2023-05-14 18:10:30,15111.27409356322,14287.601215541279,15934.94697158516
2023-05-14 18:11:00,15184.787333955876,14066.778689849056,16302.795978062695
2023-05-14 18:11:30,15502.42167150665,14086.854503253244,16917.988839760055
2023-05-14 18:12:00,15986.02078025104,14275.033776970417,17697.007783531662
2023-05-14 18:12:30,16548.394953437568,14547.290827078625,18549.49907979651
2023-05-14 18:13:00,17216.95129849579,14932.891973912978,19501.010623078604
2023-05-14 18:13:30,17942.38635207102,15383.570288713781,20501.202415428255
2023-05-14 18:14:00,18884.32345451905,16059.451800583052,21709.19510845505
2023-05-14 18:14:30,19738.5328761272,16656.45928907245,22820.60646318195
2023-05-14 18:15:00,20495.360900410393,17164.862449706397,23825.859351114388
2023-05-14 18:15:30,21466.937827584996,17896.567504379225,25037.308150790766
2023-05-14 18:16:00,22089.474977114485,18287.46991692769,25891.48003730128
2023-05-14 18:16:30,22529.163916091304,18503.391884248183,26554.935947934424
2023-05-14 18:17:00,22816.117780791767,18574.049937329837,27058.185624253696
2023-05-14 18:17:30,23040.811108464266,18589.512716493184,27492.10950043535
2023-05-14 18:18:00,23239.85772347061,18585.990953017263,27893.724493923957
2023-05-14 18:18:30,23216.093632969303,18365.92833830379,28066.258927634815
2023-05-14 18:19:00,23180.67113170303,18140.100692535474,28221.24157087059
2023-05-14 18:19:30,23359.15092940077,18133.711105886046,28584.590752915494
2023-05-14 18:20:00,23366.732920508803,17961.622285389138,28771.843555628468
2023-05-14 18:20:30,23423.24529183536,17843.34624264052,29003.144341030198
2023-05-14 18:21:00,23610.73933187096,17860.639001803138,29360.83966193878
2023-05-14 18:21:30,23774.869056159692,17858.879669048096,29690.85844327129
2023-05-14 18:22:00,24035.837531319892,17958.015908567333,30113.65915407245
2023-05-14 18:22:30,24270.213097304193,18034.379140735422,30506.047053872964
2023-05-14 18:23:00,24506.020017590447,18115.774074273468,30896.265960907425
2023-05-14 18:23:30,24634.010792095487,18092.74986476161,31175.271719429365
2023-05-14 18:24:00,24573.87844843928,17884.811254786444,31262.94564209212
2023-05-14 18:24:30,24419.139857113307,17585.30076794551,31252.978946281102
2023-05-14 18:25:00,24422.498598069753,17446.76050149634,31398.236694643165
2023-05-14 18:25:30,24137.621149059385,17022.70729848997,31252.5349996288
2023-05-14 18:26:00,23906.635937806044,16655.130847166933,31158.141028445156
2023-05-14 18:26:30,23604.664231973402,16219.023683862099,30990.304780084705
2023-05-14 18:27:00,23311.805744156874,15794.365976585803,30829.245511727946
2023-05-14 18:27:30,22899.300689179174,15252.286824900111,30546.314553458236
2023-05-14 18:28:00,22747.80661069921,14973.340390401783,30522.272830996633
2023-05-14 18:28:30,22661.180555524683,14761.287432866655,30561.07367818271
2023-05-14 18:29:00,22803.843181631935,14780.45883437424,30827.22752888963
2023-05-14 18:29:30,22684.423257509072,14539.399565198586,30829.446949819558
2023-05-14 18:30:00,22732.45931206203,14467.569846871953,30997.348777252108
